"Time"," I45 RELAY "," I45 NIVEL "," I45 STATUS "," I45 SW_PRE "," I45 NIV_1 "," I45 NIV_2 "," I45 NIV_3 "," I49 RELAY "," I49 NIVEL "," I49 STATUS "," I49 SW_PRE "," I49 NIV_1 "," I49 NIV_2 "," I49 NIV_3 "," I50 RELAY "," I50 NIVEL "," I50 STATUS "," I50 SW_PRE "," I50 NIV_1 "," I50 NIV_2 "," I50 NIV_3 "," I51 RELAY "," I51 NIVEL "," I51 STATUS "," I51 SW_PRE "," I51 NIV_1 "," I51 NIV_2 "," I51 NIV_3 "," I52 RELAY "," I52 NIVEL "," I52 STATUS "," I52 SW_PRE "," I52 NIV_1 "," I52 NIV_2 "," I52 NIV_3 "," I53 RELAY "," I53 NIVEL "," I53 STATUS "," I53 SW_PRE "," I53 NIV_1 "," I53 NIV_2 "," I53 NIV_3 "," I54 RELAY "," I54 NIVEL "," I54 STATUS "," I54 SW_PRE "," I54 NIV_1 "," I54 NIV_2 "," I54 NIV_3 "," I55 RELAY "," I55 NIVEL "," I55 STATUS "," I55 SW_PRE "," I55 NIV_1 "," I55 NIV_2 "," I55 NIV_3 "," I56 RELAY "," I56 NIVEL "," I56 STATUS "," I56 SW_PRE "," I56 NIV_1 "," I56 NIV_2 "," I56 NIV_3 "," I57 RELAY "," I57 NIVEL "," I57 STATUS "," I57 SW_PRE "," I57 NIV_1 "," I57 NIV_2 "," I57 NIV_3 "," I58 RELAY "," I58 NIVEL "," I58 STATUS "," I58 SW_PRE "," I58 NIV_1 "," I58 NIV_2 "," I58 NIV_3 "
2026-07-30 19:00:00,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off
2026-07-30 22:00:00,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,On,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-07-31 01:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,Off,On,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-07-31 04:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,On,Off,Off,,,,,,,,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-07-31 07:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,On,Off,Off,,,,,,,,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-07-31 10:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-07-31 13:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-07-31 16:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-07-31 19:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-07-31 22:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-01 01:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-01 04:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-01 07:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-01 10:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,On,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-01 13:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-01 16:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-01 19:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-01 22:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-02 01:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-02 04:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,On,Off,On,Off,,,,,,,,,,,,,,,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-02 07:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-02 10:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,On,On,On,On,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-02 13:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,,,,,,,,,,,,,,,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-02 16:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,Off,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,,,,,,,,,,,,,,,On,On,On,Off,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-02 19:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,,,,,,,,,,,,,,,On,On,On,Off,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-02 22:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,,,,,,,,On,On,On,On,On,Off,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-03 01:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,,,,,,,,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-03 04:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,,,,,,,,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-03 07:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-03 10:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-03 13:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-03 16:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-03 19:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-03 22:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,On,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-04 01:00:00,On,On,On,Off,Off,On,Off,Off,On,Off,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-04 04:00:00,On,On,On,Off,Off,On,Off,,,,,,,,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-04 07:00:00,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-04 10:00:00,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-04 13:00:00,On,On,On,Off,Off,On,Off,,,,,,,,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-04 16:00:00,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-04 19:00:00,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,On,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-04 22:00:00,On,On,On,Off,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-05 01:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-05 04:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-05 07:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-05 10:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,,,,,,,,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-05 13:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-05 16:00:00,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-05 19:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-05 22:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-06 01:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-06 04:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-06 07:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,,,,,,,,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-06 10:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-06 13:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-06 16:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-06 19:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,,,,,,,,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-06 22:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-07 01:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-07 04:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-07 07:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-07 10:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-07 13:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off
2026-08-07 16:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,,,,,,,,On,On,On,Off,Off,On,Off
2026-08-07 19:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-07 22:00:00,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,On,On,Off,On,On,On,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,On,On,On,On,Off,On,Off
2026-08-08 01:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,,,,,,,,On,On,On,On,Off,On,Off
2026-08-08 04:00:00,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,Off,On,Off,Off,,,,,,,,On,On,On,On,Off,On,Off
2026-08-08 07:00:00,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,Off,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,Off,On,Off,On,On,On,On,On,Off,Off,,,,,,,,On,On,On,Off,Off,On,Off
